access_facet,false,true
allfields,true,false
allfields_unstemmed,true,false
author,true,false
author_additional,true,false
author_browse,true,false
author_corporate,true,false
author_corporate_orig,true,false
author_corporate_ref,true,false
author_corporate_role,true,false
author_facet,true,false
author_fuller,true,false
author_id,true,false
author_orig,true,false
author_ref,true,false
author_role,true,false
author_sort,false,false
author_variant,true,false
author2,true,false
author2_fuller,true,false
author2_orig,true,false
author2_role,true,false
author2_variant,true,false
barcode,true,false
branch_nrw,false,false
building,true,false
callnumber-first,false,false
callnumber-label,false,false
callnumber-raw,true,false
callnumber-search,true,false
callnumber-sort,false,false
callnumber-subject,false,false
collection,true,false
container_issue,false,false
container_reference,false,false
container_start_page,false,false
container_title,false,false
container_volume,false,false
contents,true,false
copies_url_str_mv,true,false
ctrlnum,true,false
dateSpan,true,false
dc:subject,true,false
description,false,false
dewey-full,true,false
dewey-hundreds,true,false
dewey-ones,true,false
dewey-raw,true,false
dewey-search,true,false
dewey-sort,false,false
dewey-tens,true,false
dissertation_note,true,false
edition,false,false
era,true,false
era_facet,true,false
facet_912a,false,false
facet_avail,true,true
film_heading,true,false
finc_class_facet,true,false
fincclass_txtF_mv,true,false
finc_id_str,false,false
first_indexed,false,false
footnote,true,false
format,true,false
format_de105,true,false
format_de14,true,true
format_de15,true,true
format_de520,true,false
format_de540,true,false
format_dech1,true,false
format_ded117,true,false
format_degla1,true,false
format_del152,true,false
format_del189,true,false
format_dezi4,true,false
format_dezwi2,true,false
format_finc,true,true
format_nrw,true,false
fullrecord,false,false
fulltext,false,false
fulltext_unstemmed,false,false
genre,true,false
genre_facet,true,false
geogr_code,true,false
geogr_code_person,true,false
geographic,true,false
geographic_facet,true,false
hierarchy_browse,true,false
hierarchy_child_idcount_str,false,false
hierarchy_grandchild_idcount_str,false,false
hierarchy_parent_id,true,false
hierarchy_parent_title,true,false
hierarchy_sequence,true,false
hierarchy_top_id,true,false
hierarchy_top_title,true,false
hierarchytype,false,false
id,false,true
illustrated,false,false
imprint,false,false
imprint_str_mv,true,false
institution,true,false
is_hierarchy_id,false,false
is_hierarchy_title,false,false
isbn,true,false
ismn,true,false
issn,true,false
itemdata,false,false
kxp_id_str,false,false
language,true,false
last_indexed,false,false
lccn,false,false
long_lat,true,false
long_lat_display,true,false
long_lat_label,true,false
marc_error,true,false
marc024a_ct_mv,true,false
marc028a_ct_mv,true,false
mega_collection,true,true
misc_dech1,true,false
multipart_link,true,false
multipart_part,true,false
multipart_set,false,false
music_heading,true,false
music_heading_browse,true,false
oclc_num,true,false
owner_str_mv,true,false
performer_note,true,false
physical,true,false
publishDate,true,false
publishDateSort,false,false
publisher,true,false
publisherStr,true,false
publishPlace,true,false
purchase,true,false
record_id,false,true
recordtype,false,true
rsn,true,false
rvk_cns_mv,true,false
rvk_ct_mv,true,false
rvk_facet,true,false
rvk_label,true,false
rvk_path,true,false
series,true,false
series_orig,true,false
series2,true,false
signatur,true,false
source_id,false,true
spelling,true,false
spellingShingle,true,false
swb_id_str,false,false
thumbnail,false,false
timecode,true,false
title,false,true
title_alt,true,false
title_auth,false,false
title_full,false,true
title_full_unstemmed,false,false
title_fullStr,false,false
title_in_hierarchy,true,false
title_list_str,false,false
title_new,true,false
title_old,true,false
title_orig,false,false
title_part_str,false,false
title_short,false,true
title_sort,false,true
title_sub,false,false
title_uniform,false,false
topic,true,false
topic_browse,true,false
topic_facet,true,false
topic_id,true,false
topic_ref,true,false
topic_unstemmed,true,false
url,true,false
urn,true,false
zdb,false,false
